Название,Дата выхода,"Конфигурация памяти, ГБ","Энергопотребление, Вт","Far Cry 5, FPS","Fallout 4, FPS","The Witcher 3, FPS",3DMark Cloud Gate,3DMark Fire Strike,"Средняя цена, ₽",Архитектура,NVIDIA SLI,RTX,"Базовая тактовая частота, МГц"
GTX 950,20.08.2015,2,90,29,27,28,13176,5605,0,Maxwell,нет,нет,1024
GTX 960,22.01.2015,4,120,43,35,33,16891,6199,0,Maxwell,нет,нет,1127
GTX 970,18.09.2014,4,150,60,57,50,24740,8963,0,Maxwell,да,нет,1050
GTX 980,18.09.2014,4,165,72,69,67,32178,10398,0,Maxwell,да,нет,1126
GTX 980 Ti,1.06.2015,6,250,92,77,79,38631,14339,0,Maxwell,да,нет,1000
GTX 1050,25.10.2016,2,75,34,34,29,15465,5507,10500,Pascal,нет,нет,1354
GTX 1050 Ti,25.10.2016,4,75,44,37,35,17093,6210,13000,Pascal,нет,нет,1290
GTX 1060,18.08.2016,3,120,64,59,52,25396,9518,17500,Pascal,нет,нет,1506
GTX 1060,08.07.2016,6,130,68,63,57,27113,10400,21000,Pascal,нет,нет,1506
GTX 1070 ,10.06.2016,8,150,91,79,82,39037,15236,29000,Pascal,нет,нет,1506
GTX 1070 Ti,02.11.2017,8,180,95,81,90,40529,16068,37000,Pascal,да,нет,1607
GTX 1080,27.05.2016,8,180,98,85,98,44974,17511,44000,Pascal,да,нет,1607
GTX 1080 Ti,10.03.2017,11,250,101,89,120,58930,23218,60000,Pascal,да,нет,1582
GTX 2060 ,15.01.2019,6,160,96,82,92,39890,15421,30000,Turing,да,да,1365
GTX 2070 ,17.10.2018,8,185,98,95,106,46446,17421,40000,Turing,нет,да,1410
GTX 2080 ,20.09.2018,8,225,101,96,132,54787,21971,60000,Turing,да,да,1515
GTX 2080 Ti,20.09.2018,11,260,105,103,141,68351,26166,85000,Turing,да,да,1350
